0,0,0,0,24,6,0,1,0,17
0,6,3,35,2,1,0,0,1,0
0,0,0,0,13,0,0,9,0,0
4,3,0,17,26,1,6,67,0,1
7,0,0,0,0,0,0,0,1,0
0,13,0,0,0,0,0,25,0,0
2,0,0,0,0,5,0,0,0,1
0,7,0,0,0,0,0,2,1,0
1,14,13,0,54,0,0,0,0,0
0,0,2,5,0,5,19,0,2,3
0,0,0,1,0,0,0,2,0,0
0,0,0,0,6,0,1,2,0,0
10,0,0,1,0,3,8,0,2,57
0,30,2,49,12,1,0,0,27,0
3,74,0,0,0,7,0,0,0,0
0,6,9,0,0,0,14,0,0,21
0,0,0,0,0,10,8,0,10,0
0,0,0,0,0,0,0,1,19,1
37,0,0,0,0,0,0,0,0,2
26,1,17,0,0,0,0,0,0,16
0,1,0,10,0,19,0,0,0,0
0,0,0,1,0,3,0,8,4,11
4,2,0,32,6,9,0,0,0,0
23,0,4,0,0,0,0,0,15,3
25,0,5,0,1,0,0,0,5,1
0,0,23,1,0,0,0,6,0,0
14,0,0,18,0,0,0,21,0,7
0,0,0,4,0,0,0,0,0,0
0,10,0,0,2,1,0,3,1,0
0,0,0,0,0,0,0,2,0,0
10,0,0,0,0,2,0,1,5,0
4,0,0,3,0,1,8,13,5,3
3,0,2,0,1,18,2,0,2,0
0,0,0,0,0,0,0,3,10,0
0,0,0,0,0,11,0,0,1,4
0,32,0,27,0,0,2,2,0,0
0,0,0,4,3,0,0,0,0,2
10,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,2,42,0,1
17,3,0,28,1,0,12,0,0,0
0,0,3,1,0,0,0,0,1,12
0,0,2,0,0,0,22,11,0,0
0,2,6,2,4,0,3,2,0,0
5,14,0,1,1,0,18,9,1,0
23,0,3,1,0,4,5,0,50,0
2,0,5,0,2,4,0,0,3,19
0,6,2,0,0,0,0,0,2,8
58,7,0,9,3,0,8,0,0,2
12,0,0,1,0,0,0,0,13,4
0,1,0,0,3,0,11,10,0,0
21,1,6,0,0,0,0,2,0,0
0,0,0,0,11,0,16,0,0,1
0,0,0,0,0,0,1,0,0,3
0,0,0,3,0,0,6,0,0,0
0,2,5,13,0,1,15,0,7,1
0,0,13,0,4,3,5,0,1,17
0,0,0,1,20,1,10,55,0,2
0,10,5,0,0,0,0,0,0,18
0,13,3,0,6,0,2,0,0,0
3,0,1,1,0,1,0,3,4,0
24,17,11,0,0,0,0,0,0,0
21,1,13,0,0,0,0,6,0,0
1,1,1,0,3,9,0,5,2,2
18,0,0,3,21,1,1,0,20,7
0,29,0,0,18,2,0,0,0,25
0,14,18,0,0,8,0,38,0,24
0,1,0,1,28,4,53,0,0,0
0,0,0,15,5,6,16,0,4,1
33,22,16,0,3,0,5,10,0,0
1,0,16,10,0,3,16,3,5,0
0,0,0,2,9,0,0,0,0,26
2,0,1,103,0,1,0,3,12,0
10,0,0,30,34,0,0,0,0,0
0,3,0,1,0,5,5,1,0,17
0,2,0,0,0,43,0,0,3,11
0,6,9,1,0,0,0,0,0,39
0,7,12,0,11,0,4,5,0,0
1,34,0,0,6,3,0,7,3,12
0,53,0,1,0,3,2,1,19,0
0,0,1,1,0,2,0,0,0,10
1,4,0,0,0,0,0,3,2,0
0,0,3,2,9,0,5,2,0,43
1,0,21,15,2,2,1,1,7,0
0,3,10,0,0,0,5,10,7,0
0,0,0,1,5,1,0,1,14,7
0,0,8,8,0,5,0,0,3,0
9,8,0,0,2,3,4,0,2,5
0,2,6,0,0,0,2,0,1,0
0,0,0,4,18,0,0,0,0,0
0,20,0,0,1,0,0,0,55,6
5,0,0,0,1,4,0,0,0,2
0,0,2,4,0,0,4,0,0,8
3,4,0,0,0,8,2,0,3,0
0,19,5,9,19,0,0,0,0,0
10,0,0,14,0,1,25,1,16,0
1,3,0,0,8,0,2,8,11,14
0,0,3,0,0,0,2,0,16,0
0,0,1,34,0,0,2,4,0,1
5,15,3,2,1,7,18,0,1,0
1,0,0,0,0,13,4,0,4,0
0,0,40,3,3,0,1,11,0,4
0,0,0,0,0,3,0,0,0,0
0,0,1,1,2,0,1,0,0,4
1,0,0,0,2,11,0,0,0,0
0,2,0,6,0,0,2,0,0,0
0,9,48,2,4,1,1,9,1,0
43,0,0,0,0,0,0,0,10,4
2,1,11,0,0,0,0,7,2,0
3,0,0,0,0,0,0,20,2,0
0,4,8,0,0,25,11,1,27,2
0,0,0,1,20,22,0,0,0,6
0,0,0,0,32,3,29,0,0,0
0,4,0,21,0,0,7,7,4,1
0,2,3,1,0,2,0,14,0,1
0,0,0,1,0,8,0,12,0,0
4,2,4,1,0,0,19,0,0,0
8,0,30,2,3,5,6,0,1,0
0,0,5,1,1,0,0,0,2,5
1,2,9,0,0,13,3,1,0,0
9,0,0,0,50,0,4,89,0,5
0,29,3,1,0,0,0,4,15,0
4,0,6,4,0,0,0,0,22,0
