6,9,8,11,9,4,13,11,10,13
13,13,10,15,10,13,14,7,14,13
9,15,7,11,15,15,10,12,11,11
12,14,12,19,14,16,15,13,15,11
14,24,7,9,13,12,15,22,10,13
11,10,13,11,16,14,8,19,15,11
16,14,13,17,9,14,17,9,11,19
10,18,8,11,17,10,10,11,8,11
25,15,10,12,17,10,8,14,14,15
9,11,6,12,8,11,10,12,10,12
20,17,12,12,10,12,13,15,15,16
10,17,11,19,11,11,16,12,17,10
12,8,14,10,10,12,2,12,10,7
13,20,13,16,12,17,21,13,8,14
11,5,10,19,7,12,12,17,8,8
14,12,14,5,8,15,18,7,7,16
10,13,10,9,12,9,12,17,10,14
14,20,9,8,21,8,16,10,5,9
18,13,8,15,17,19,11,16,7,21
10,7,6,7,17,12,12,11,13,8
12,13,17,23,8,8,9,20,14,13
7,7,13,11,8,11,13,8,8,6
12,14,7,16,7,18,14,8,9,10
9,20,15,10,12,6,14,17,10,14
16,17,10,11,18,6,14,13,17,14
8,10,17,16,12,11,13,11,13,20
16,16,11,13,13,9,16,2,12,15
13,18,14,13,10,13,11,9,12,12
11,18,9,10,19,11,13,10,14,14
7,9,13,11,7,14,11,12,11,15
7,12,11,10,6,7,10,19,18,12
8,16,9,9,9,6,11,17,14,12
4,15,12,8,11,10,11,15,12,8
13,12,14,10,20,9,11,14,7,12
17,13,13,6,7,6,13,17,17,7
14,12,15,13,9,11,11,12,8,14
12,7,10,16,8,12,20,11,9,13
14,15,10,10,11,8,15,10,10,11
10,12,12,8,10,12,11,22,10,16
10,12,13,11,12,17,9,11,10,9
11,15,8,11,10,16,10,12,12,10
16,15,9,11,14,14,16,11,6,9
8,11,17,17,17,7,16,16,14,8
9,18,11,17,17,13,13,11,14,13
15,11,12,16,8,9,13,11,9,6
10,13,6,14,13,8,10,16,11,11
6,22,9,10,10,11,9,11,13,11
8,14,9,15,16,11,15,10,12,20
9,9,14,5,5,12,12,14,13,6
11,14,8,18,9,8,14,15,10,13
14,13,14,9,11,13,12,14,13,10
16,10,10,20,11,15,15,10,18,17
16,14,10,16,10,2,11,15,11,9
10,18,16,16,9,11,13,14,12,7
14,12,10,10,9,12,11,11,6,13
10,9,19,10,10,13,11,7,12,14
10,15,13,12,17,6,9,16,7,9
9,9,4,15,8,14,8,12,11,12
13,7,12,12,17,8,9,13,9,11
10,17,6,17,9,14,7,11,9,10
10,12,9,9,6,5,20,16,16,6
8,17,14,14,6,8,7,10,10,10
17,14,13,21,9,17,13,10,12,11
14,12,9,13,9,11,16,8,12,13
17,12,12,6,15,9,13,11,8,7
15,6,12,10,15,7,10,9,9,10
11,13,10,10,10,11,8,8,7,7
14,15,8,11,13,5,9,14,10,10
13,8,8,8,16,8,10,15,10,13
9,11,13,7,19,8,8,16,10,13
13,13,12,13,10,11,10,6,7,11
16,14,12,15,4,14,11,14,15,13
12,14,13,19,7,13,15,12,12,25
6,11,17,9,13,15,17,10,19,18
10,6,16,13,10,10,8,10,9,16
13,12,11,16,13,10,8,12,13,18
22,12,11,13,10,8,9,15,7,7
13,3,12,8,20,16,11,20,14,5
8,15,13,9,14,7,14,18,10,13
14,19,14,11,14,14,9,14,13,11
10,14,17,12,10,9,10,14,14,17
15,11,13,10,11,9,16,13,9,13
18,16,13,12,3,11,11,14,12,13
17,19,15,13,12,7,13,14,12,18
15,17,10,16,11,6,9,14,14,12
14,14,13,15,10,9,8,16,13,16
16,16,14,12,12,12,13,9,8,10
12,15,17,10,16,12,14,13,16,9
13,12,16,17,19,6,9,11,7,13
17,10,11,9,19,14,13,14,17,11
13,14,10,11,11,12,13,19,15,11
9,20,8,9,16,14,12,11,11,14
6,10,24,11,14,10,8,11,14,8
12,11,8,5,11,7,13,13,17,9
7,5,13,10,10,7,10,13,19,17
12,13,9,9,18,13,13,11,9,11
12,13,10,15,16,11,18,11,5,11
3,19,9,9,10,12,5,10,19,14
9,15,8,11,14,9,19,9,11,14
13,15,9,17,15,7,13,15,14,15
